"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"1400000US48201320100","Census Tract 3201, Harris County, Texas","2853","451","1295","328","0","127","11","20","26","41","0","127","1476","452","45","58","45","58","0","127"
"1400000US48201350700","Census Tract 3507, Harris County, Texas","1918","146","1816","153","0","127","0","127","88","96","0","127","14","22","0","127","0","127","0","127"
"1400000US48201422402","Census Tract 4224.02, Harris County, Texas","5771","820","3308","706","793","433","15","23","248","222","0","127","1344","480","63","112","63","112","0","127"
"1400000US48201550100","Census Tract 5501, Harris County, Texas","4576","600","1595","421","2442","490","0","127","20","31","0","127","498","347","21","30","0","127","21","30"
"1400000US48201250200","Census Tract 2502, Harris County, Texas","7488","723","3982","778","2043","519","87","116","264","215","0","127","1099","451","13","22","0","127","13","22"
"1400000US48201230500","Census Tract 2305, Harris County, Texas","4400","644","2085","686","647","226","32","38","0","127","0","127","1558","467","78","80","32","37","46","70"
"1400000US48201322000","Census Tract 3220, Harris County, Texas","4940","694","1739","557","232","157","53","82","75","47","0","127","2841","634","0","127","0","127","0","127"
"1400000US48201410100","Census Tract 4101, Harris County, Texas","3844","348","1404","256","1699","322","106","167","215","126","0","127","360","191","60","41","8","14","52","36"
"1400000US48201533701","Census Tract 5337.01, Harris County, Texas","6141","894","4227","893","896","268","7","15","267","113","0","127","724","431","20","46","0","127","20","46"
"1400000US48201230700","Census Tract 2307, Harris County, Texas","2790","581","338","326","2410","537","8","35","0","127","0","127","34","45","0","127","0","127","0","127"
"1400000US48201241500","Census Tract 2415, Harris County, Texas","9325","1383","4028","1015","3476","607","66","75","445","333","35","56","989","435","286","243","85","124","201","208"
"1400000US48201240400","Census Tract 2404, Harris County, Texas","6994","733","4307","709","1665","415","0","127","99","92","0","127","862","381","61","66","13","21","48","49"
"1400000US48201252400","Census Tract 2524, Harris County, Texas","7652","913","5945","964","180","253","61","94","0","127","0","127","1312","747","154","111","35","56","119","93"
"1400000US48201253000","Census Tract 2530, Harris County, Texas","3166","324","1548","239","1259","308","0","127","0","127","0","127","359","167","0","127","0","127","0","127"
"1400000US48201411900","Census Tract 4119, Harris County, Texas","4382","881","3753","795","92","110","0","127","423","288","0","127","50","66","64","63","13","19","51","58"
"1400000US48201521500","Census Tract 5215, Harris County, Texas","6198","743","4932","781","160","159","0","127","374","279","0","127","683","375","49","46","0","127","49","46"
"1400000US48201531200","Census Tract 5312, Harris County, Texas","3080","514","2403","352","88","71","18","20","31","53","0","127","540","424","0","127","0","127","0","127"
"1400000US48201532002","Census Tract 5320.02, Harris County, Texas","1044","95","926","144","95","103","23","30","0","127","0","127","0","127","0","127","0","127","0","127"
"1400000US48201250402","Census Tract 2504.02, Harris County, Texas","11782","570","9223","566","1559","554","44","63","218","157","0","127","487","314","251","146","9","16","242","149"
"1400000US48201412700","Census Tract 4127, Harris County, Texas","3331","266","2625","187","64","72","0","127","510","214","0","127","75","96","57","47","0","127","57","47"
"1400000US48201510700","Census Tract 5107, Harris County, Texas","2946","332","2551","313","38","43","0","127","184","98","0","127","156","113","17","27","0","127","17","27"
"1400000US48201312400","Census Tract 3124, Harris County, Texas","2048","552","192","197","1453","334","0","127","20","32","0","127","369","413","14","21","0","127","14","21"
"1400000US48201324200","Census Tract 3242, Harris County, Texas","1748","290","795","324","80","130","100","159","0","127","0","127","752","260","21","24","21","24","0","127"
"1400000US48201431600","Census Tract 4316, Harris County, Texas","3323","276","3086","306","43","41","0","127","78","92","17","33","99","152","0","127","0","127","0","127"
"1400000US48201433001","Census Tract 4330.01, Harris County, Texas","5505","867","3142","618","1230","516","0","127","801","426","0","127","301","211","31","50","0","127","31","50"
"1400000US48201251000","Census Tract 2510, Harris County, Texas","2462","360","2016","327","41","59","36","49","211","223","0","127","127","100","31","50","0","127","31","50"
"1400000US48201340900","Census Tract 3409, Harris County, Texas","4447","617","3166","524","464","277","0","127","362","174","0","127","237","375","218","186","53","84","165","160"
"1400000US48201331700","Census Tract 3317, Harris County, Texas","4037","511","408","271","3496","495","12","19","0","127","0","127","121","142","0","127","0","127","0","127"
"1400000US48201553700","Census Tract 5537, Harris County, Texas","3737","271","2855","249","416","154","8","14","350","108","0","127","58","54","50","37","22","34","28","32"
"1400000US48201251501","Census Tract 2515.01, Harris County, Texas","5055","400","4263","395","247","290","0","127","384","107","0","127","129","122","32","49","0","127","32","49"
"1400000US48201521300","Census Tract 5213, Harris County, Texas","5521","501","4501","640","267","223","0","127","164","76","0","127","573","356","16","27","0","127","16","27"
"1400000US48201542600","Census Tract 5426, Harris County, Texas","3741","494","2710","463","324","171","0","127","241","167","0","127","427","306","39","46","0","127","39","46"
"1400000US48201553300","Census Tract 5533, Harris County, Texas","3371","611","1799","543","1326","392","0","127","77","67","35","53","116","72","18","30","0","127","18","30"
"1400000US48201330400","Census Tract 3304, Harris County, Texas","4632","476","1551","534","1915","318","0","127","0","127","0","127","1118","386","48","38","11","18","37","35"
"1400000US48201341100","Census Tract 3411, Harris County, Texas","3990","425","2417","540","523","357","0","127","222","142","0","127","479","352","349","275","121","89","228","226"
"1400000US48201531000","Census Tract 5310, Harris County, Texas","4325","302","3708","385","13","19","59","91","271","162","0","127","196","162","78","81","11","18","67","79"
"1400000US48201550500","Census Tract 5505, Harris County, Texas","4283","414","1806","402","1408","299","8","12","426","135","27","49","526","303","82","63","50","57","32","30"
"1400000US48201551600","Census Tract 5516, Harris County, Texas","8350","688","5524","906","1095","271","21","23","457","147","8","13","1160","507","85","73","36","42","49","63"
"1400000US48201553402","Census Tract 5534.02, Harris County, Texas","6621","438","5185","467","569","166","0","127","467","258","11","18","322","222","67","54","23","30","44","46"
"1400000US48201253900","Census Tract 2539, Harris County, Texas","3817","400","2963","412","106","116","0","127","163","137","0","127","508","250","77","97","0","127","77","97"
"1400000US48201320900","Census Tract 3209, Harris County, Texas","7724","645","4854","831","1055","344","78","125","170","186","0","127","1522","543","45","52","16","24","29","46"
"1400000US48201211300","Census Tract 2113, Harris County, Texas","5280","896","766","313","4180","848","8","13","15","24","0","127","311","204","0","127","0","127","0","127"
"1400000US48201320800","Census Tract 3208, Harris County, Texas","5442","455","4064","583","26","40","11","17","178","154","0","127","1163","373","0","127","0","127","0","127"
"1400000US48201541003","Census Tract 5410.03, Harris County, Texas","11929","614","7486","692","1472","357","22","37","1530","358","0","127","901","441","518","285","166","128","352","245"
"1400000US48201550603","Census Tract 5506.03, Harris County, Texas","5722","555","2839","627","1868","446","0","127","268","180","0","127","685","420","62","82","14","23","48","78"
"1400000US48201552800","Census Tract 5528, Harris County, Texas","8170","504","6803","480","765","314","57","81","306","103","0","127","191","154","48","50","0","127","48","50"
"1400000US48201310400","Census Tract 3104, Harris County, Texas","3694","420","2398","438","78","69","11","17","0","127","0","127","1167","509","40","43","7","12","33","40"
"1400000US48201312200","Census Tract 3122, Harris County, Texas","2069","341","187","164","1785","322","0","127","0","127","0","127","44","55","53","62","53","62","0","127"
"1400000US48201412800","Census Tract 4128, Harris County, Texas","4857","261","4106","247","0","127","0","127","523","209","0","127","167","192","61","56","28","38","33","40"
"1400000US48201454302","Census Tract 4543.02, Harris County, Texas","6443","452","2910","489","1344","283","0","127","689","231","0","127","1375","532","125","106","75","94","50","44"
"1400000US48201520700","Census Tract 5207, Harris County, Texas","4042","685","3209","568","269","193","0","127","302","205","0","127","199","173","63","52","0","127","63","52"
"1400000US48201220300","Census Tract 2203, Harris County, Texas","4651","620","3791","638","25","38","0","127","0","127","0","127","835","339","0","127","0","127","0","127"
"1400000US48201222600","Census Tract 2226, Harris County, Texas","5322","503","3843","543","652","192","0","127","0","127","0","127","783","364","44","43","20","33","24","29"
"1400000US48201233103","Census Tract 2331.03, Harris County, Texas","4352","474","2918","475","60","67","0","127","27","43","0","127","1154","459","193","205","163","206","30","38"
"1400000US48201311500","Census Tract 3115, Harris County, Texas","7855","783","3491","917","53","69","0","127","360","180","0","127","3831","852","120","113","59","76","61","85"
"1400000US48201554801","Census Tract 5548.01, Harris County, Texas","12229","670","8604","641","1414","453","14","17","736","199","0","127","1095","552","366","219","182","188","184","108"
"1400000US48201451100","Census Tract 4511, Harris County, Texas","3983","440","2410","392","732","302","0","127","428","267","0","127","373","251","40","63","0","127","40","63"
"1400000US48201540601","Census Tract 5406.01, Harris County, Texas","2760","250","1978","333","70","91","13","22","454","138","40","52","129","143","76","74","0","127","76","74"
"1400000US48201211500","Census Tract 2115, Harris County, Texas","7144","910","4518","942","535","569","0","127","0","127","0","127","2080","818","11","18","11","18","0","127"
"1400000US48201212400","Census Tract 2124, Harris County, Texas","3633","617","2068","630","94","82","56","101","12","20","0","127","1403","622","0","127","0","127","0","127"
"1400000US48201313100","Census Tract 3131, Harris County, Texas","3018","440","2205","347","314","290","0","127","365","162","18","23","87","63","29","30","12","19","17","22"
"1400000US48201431401","Census Tract 4314.01, Harris County, Texas","2442","351","1942","362","134","128","0","127","236","179","0","127","105","80","25","31","0","127","25","31"
"1400000US48201432200","Census Tract 4322, Harris County, Texas","4418","428","2755","403","940","243","9","15","468","216","0","127","206","176","40","43","40","43","0","127"
"1400000US48201453300","Census Tract 4533, Harris County, Texas","3539","361","908","360","1899","394","0","127","684","213","0","127","48","55","0","127","0","127","0","127"
"1400000US48201554402","Census Tract 5544.02, Harris County, Texas","11975","911","9397","926","1055","387","0","127","884","267","0","127","566","280","73","97","0","127","73","97"
"1400000US48201240600","Census Tract 2406, Harris County, Texas","2805","479","1393","497","734","275","0","127","26","41","0","127","631","268","21","32","0","127","21","32"
"1400000US48201334003","Census Tract 3340.03, Harris County, Texas","6417","729","3780","705","1367","367","0","127","487","188","0","127","742","445","41","46","0","127","41","46"
"1400000US48201412000","Census Tract 4120, Harris County, Texas","3037","326","2761","334","58","68","0","127","96","64","0","127","38","44","84","110","0","127","84","110"
"1400000US48201430900","Census Tract 4309, Harris County, Texas","5507","514","4312","470","39","62","23","35","916","321","0","127","179","167","38","35","26","30","12","18"
"1400000US48201454502","Census Tract 4545.02, Harris County, Texas","2445","192","1556","219","167","216","0","127","683","160","0","127","39","63","0","127","0","127","0","127"
"1400000US48201232401","Census Tract 2324.01, Harris County, Texas","7153","792","3993","679","1487","429","102","158","449","179","0","127","807","399","315","195","219","169","96","98"
"1400000US48201251901","Census Tract 2519.01, Harris County, Texas","8571","730","6822","586","832","604","45","43","107","155","0","127","366","174","399","206","247","173","152","110"
"1400000US48201420900","Census Tract 4209, Harris County, Texas","5951","280","4708","334","0","127","46","53","965","247","0","127","131","155","101","135","19","29","82","131"
"1400000US48201554903","Census Tract 5549.03, Harris County, Texas","10951","570","8252","589","842","373","0","127","878","228","0","127","793","431","186","131","128","127","58","54"
"1400000US48201422301","Census Tract 4223.01, Harris County, Texas","6855","867","1124","414","4383","740","0","127","910","621","0","127","438","318","0","127","0","127","0","127"
"1400000US48201451500","Census Tract 4515, Harris County, Texas","4714","601","2635","406","1085","519","0","127","762","337","0","127","150","157","82","77","58","70","24","33"
"1400000US48201552500","Census Tract 5525, Harris County, Texas","9957","536","6794","628","1344","413","0","127","520","270","0","127","1229","566","70","75","0","127","70","75"
"1400000US48201555600","Census Tract 5556, Harris County, Texas","4058","477","3759","411","20","31","0","127","0","127","0","127","242","274","37","46","0","127","37","46"
"1400000US48201342400","Census Tract 3424, Harris County, Texas","3524","455","2278","377","172","205","45","68","0","127","0","127","950","381","79","71","0","127","79","71"
"1400000US48201452700","Census Tract 4527, Harris County, Texas","9407","808","1531","407","3136","674","0","127","3342","425","0","127","1341","432","57","42","0","127","57","42"
"1400000US48201250301","Census Tract 2503.01, Harris County, Texas","6714","644","2407","462","2940","571","16","22","59","64","182","253","1022","423","88","52","62","43","26","30"
"1400000US48201312900","Census Tract 3129, Harris County, Texas","4276","529","156","168","3881","538","0","127","177","183","0","127","0","127","62","73","0","127","62","73"
"1400000US48201411700","Census Tract 4117, Harris County, Texas","2601","257","1975","239","113","71","20","32","319","204","0","127","134","123","40","34","21","24","19","23"
"1400000US48201554001","Census Tract 5540.01, Harris County, Texas","3177","305","2411","347","122","144","17","29","350","294","0","127","232","216","45","56","0","127","45","56"
"1400000US48201232000","Census Tract 2320, Harris County, Texas","4248","417","1943","382","1768","253","0","127","0","127","0","127","537","299","0","127","0","127","0","127"
"1400000US48201333201","Census Tract 3332.01, Harris County, Texas","5014","586","2595","602","1132","323","0","127","379","201","0","127","864","318","44","50","23","38","21","33"
"1400000US48201510800","Census Tract 5108, Harris County, Texas","6080","380","4965","427","145","124","0","127","508","204","0","127","378","235","84","48","39","43","45","35"
"1400000US48201233701","Census Tract 2337.01, Harris County, Texas","5474","488","2643","676","1033","365","54","80","0","127","0","127","1744","574","0","127","0","127","0","127"
"1400000US48201410702","Census Tract 4107.02, Harris County, Texas","2302","453","1676","343","139","86","0","127","229","143","0","127","158","89","100","66","0","127","100","66"
"1400000US48201534001","Census Tract 5340.01, Harris County, Texas","2003","497","517","204","318","215","0","127","163","175","0","127","857","482","148","172","19","71","129","156"
"1400000US48201423500","Census Tract 4235, Harris County, Texas","2298","310","1140","283","856","240","0","127","291","134","0","127","11","17","0","127","0","127","0","127"
"1400000US48201430200","Census Tract 4302, Harris County, Texas","1372","178","1164","170","20","25","0","127","136","116","0","127","42","48","10","18","0","127","10","18"
"1400000US48201253500","Census Tract 2535, Harris County, Texas","8644","680","4379","682","2342","538","81","146","175","133","0","127","1521","691","146","195","0","127","146","195"
"1400000US48201411100","Census Tract 4111, Harris County, Texas","3616","388","3027","363","22","27","112","164","303","205","0","127","125","117","27","33","0","127","27","33"
"1400000US48201430300","Census Tract 4303, Harris County, Texas","4326","47","3916","194","0","127","32","45","277","136","0","127","0","127","101","106","0","127","101","106"
"1400000US48201454600","Census Tract 4546, Harris County, Texas","3927","444","3379","470","272","192","0","127","227","146","0","127","49","67","0","127","0","127","0","127"
"1400000US48201511200","Census Tract 5112, Harris County, Texas","3913","408","3024","425","206","183","125","194","258","213","0","127","156","136","144","116","18","27","126","106"
"1400000US48201555502","Census Tract 5555.02, Harris County, Texas","15076","1023","12412","1009","637","240","57","80","676","229","0","127","907","557","387","262","98","81","289","253"
"1400000US48201455000","Census Tract 4550, Harris County, Texas","2726","234","2086","305","138","115","0","127","327","150","0","127","99","84","76","76","0","127","76","76"
"1400000US48201533100","Census Tract 5331, Harris County, Texas","6713","716","1754","391","4582","719","0","127","15","23","0","127","253","243","109","117","0","127","109","117"
"1400000US48201254200","Census Tract 2542, Harris County, Texas","3015","303","1887","469","172","168","0","127","0","127","0","127","920","448","36","34","0","127","36","34"
"1400000US48201332800","Census Tract 3328, Harris County, Texas","5186","647","2938","637","617","241","0","127","21","33","0","127","1604","645","6","12","6","12","0","127"
"1400000US48201333300","Census Tract 3333, Harris County, Texas","9123","801","5951","1084","2170","701","0","127","238","235","0","127","650","245","114","86","84","69","30","56"
"1400000US48201350801","Census Tract 3508.01, Harris County, Texas","5133","407","4130","457","376","150","8","13","241","230","0","127","38","38","340","251","47","50","293","261"
"1400000US48201421700","Census Tract 4217, Harris County, Texas","4817","423","2993","391","87","88","0","127","683","255","0","127","1003","404","51","71","0","127","51","71"
"1400000US48201340800","Census Tract 3408, Harris County, Texas","5894","317","4469","286","466","201","42","69","754","252","0","127","36","45","127","101","19","22","108","98"
"1400000US48201343302","Census Tract 3433.02, Harris County, Texas","4817","435","4100","483","350","116","16","33","50","78","0","127","292","360","9","14","9","14","0","127"
"1400000US48201453100","Census Tract 4531, Harris County, Texas","3352","572","1235","452","1032","351","0","127","490","164","0","127","584","231","11","15","4","9","7","11"
"1400000US48201530900","Census Tract 5309, Harris County, Texas","4548","567","3443","540","698","302","0","127","19","22","0","127","336","214","52","55","17","28","35","44"
"1400000US48201550602","Census Tract 5506.02, Harris County, Texas","3617","450","1133","473","1230","352","0","127","495","292","0","127","712","337","47","54","0","127","47","54"
"1400000US48201552200","Census Tract 5522, Harris County, Texas","6747","463","4649","515","850","240","11","17","429","291","0","127","632","358","176","136","36","44","140","128"
"1400000US48201341301","Census Tract 3413.01, Harris County, Texas","5373","673","3594","513","278","153","33","38","905","298","0","127","417","442","146","160","0","127","146","160"
"1400000US48201251200","Census Tract 2512, Harris County, Texas","5932","503","5342","500","245","151","0","127","105","73","0","127","148","106","92","69","0","127","92","69"
"1400000US48201331602","Census Tract 3316.02, Harris County, Texas","2392","604","162","205","2208","554","0","127","0","127","0","127","0","127","22","35","0","127","22","35"
"1400000US48201332400","Census Tract 3324, Harris County, Texas","4845","844","204","293","4578","714","0","127","0","127","0","127","12","20","51","65","0","127","51","65"
"1400000US48201453700","Census Tract 4537, Harris County, Texas","8818","808","3760","739","3178","604","17","27","1269","318","0","127","594","282","0","127","0","127","0","127"
"1400000US48201231000","Census Tract 2310, Harris County, Texas","4217","636","1168","406","2714","528","0","127","0","127","0","127","335","276","0","127","0","127","0","127"
"1400000US48201410401","Census Tract 4104.01, Harris County, Texas","3861","508","3429","517","102","127","0","127","181","138","0","127","56","71","93","82","0","127","93","82"
"1400000US48201241300","Census Tract 2413, Harris County, Texas","10082","747","6055","579","2897","680","0","127","737","262","0","127","234","151","159","95","83","75","76","54"
"1400000US48201313900","Census Tract 3139, Harris County, Texas","3780","701","926","234","1589","560","0","127","1015","446","0","127","225","249","25","18","0","127","25","18"
"1400000US48201343700","Census Tract 3437, Harris County, Texas","2999","402","1688","362","555","218","0","127","11","19","0","127","630","348","115","139","32","59","83","122"
"1400000US48201431900","Census Tract 4319, Harris County, Texas","3062","332","2276","331","359","170","0","127","332","149","0","127","95","101","0","127","0","127","0","127"
"1400000US48201554401","Census Tract 5544.01, Harris County, Texas","12456","826","10072","594","695","644","119","162","966","248","0","127","213","163","391","297","240","252","151","145"
"1400000US48201422401","Census Tract 4224.01, Harris County, Texas","3852","563","1056","313","2200","479","0","127","129","88","0","127","467","343","0","127","0","127","0","127"
"1400000US48201251401","Census Tract 2514.01, Harris County, Texas","2486","234","2085","308","296","318","0","127","82","133","0","127","23","44","0","127","0","127","0","127"
"1400000US48201450300","Census Tract 4503, Harris County, Texas","7556","865","4800","746","1550","699","0","127","963","387","0","127","168","173","75","66","14","23","61","63"
"1400000US48201231200","Census Tract 2312, Harris County, Texas","7055","739","892","392","5298","696","0","127","0","127","0","127","827","338","38","36","38","36","0","127"
"1400000US48201320602","Census Tract 3206.02, Harris County, Texas","4568","643","2591","681","98","89","46","73","0","127","0","127","1833","588","0","127","0","127","0","127"
"1400000US48201422500","Census Tract 4225, Harris County, Texas","6176","681","3344","552","1967","427","36","39","147","132","0","127","450","284","232","363","0","127","232","363"
"1400000US48201433400","Census Tract 4334, Harris County, Texas","3982","396","2056","390","1174","325","9","17","399","132","0","127","279","141","65","80","55","79","10","17"
"1400000US48201533400","Census Tract 5334, Harris County, Texas","9290","1118","3535","1120","3912","733","0","127","70","80","18","32","1702","630","53","59","0","127","53","59"
"1400000US48201222401","Census Tract 2224.01, Harris County, Texas","2875","549","2230","539","44","75","0","127","222","216","0","127","379","284","0","127","0","127","0","127"
"1400000US48201420600","Census Tract 4206, Harris County, Texas","2297","253","1843","152","76","59","0","127","72","68","0","127","291","252","15","34","0","127","15","34"
"1400000US48201522401","Census Tract 5224.01, Harris County, Texas","4674","937","2964","807","42","51","48","77","205","188","0","127","1337","849","78","78","57","71","21","35"
"1400000US48201554101","Census Tract 5541.01, Harris County, Texas","890","181","813","216","60","68","0","127","0","127","0","127","0","127","17","31","0","127","17","31"
"1400000US48201233200","Census Tract 2332, Harris County, Texas","6269","534","4197","680","134","99","0","127","15","24","0","127","1815","513","108","104","36","60","72","78"
"1400000US48201254300","Census Tract 2543, Harris County, Texas","4990","594","3247","585","810","515","20","23","250","271","0","127","663","273","0","127","0","127","0","127"
"1400000US48201412500","Census Tract 4125, Harris County, Texas","1691","76","1347","111","17","14","0","127","286","112","0","127","32","23","9","9","5","7","4","5"
"1400000US48201413300","Census Tract 4133, Harris County, Texas","6986","528","4597","495","1125","420","42","67","728","251","0","127","388","260","106","88","0","127","106","88"
"1400000US48201423301","Census Tract 4233.01, Harris County, Texas","3888","527","2161","483","1015","223","0","127","264","227","0","127","369","163","79","79","30","43","49","62"
"1400000US48201450600","Census Tract 4506, Harris County, Texas","4136","494","3434","502","453","282","0","127","114","82","0","127","85","109","50","53","25","38","25","37"
"1400000US48201233702","Census Tract 2337.02, Harris County, Texas","2862","470","2185","573","0","127","0","127","0","127","0","127","649","285","28","47","28","47","0","127"
"1400000US48201453200","Census Tract 4532, Harris County, Texas","6633","853","2944","714","1942","532","0","127","444","219","0","127","1252","407","51","62","0","127","51","62"
"1400000US48201540501","Census Tract 5405.01, Harris County, Texas","5851","973","4467","1059","620","352","0","127","319","327","0","127","296","291","149","119","21","33","128","115"
"1400000US48201233703","Census Tract 2337.03, Harris County, Texas","2460","278","1727","372","22","36","134","160","0","127","0","127","514","213","63","92","39","88","24","31"
"1400000US48201321100","Census Tract 3211, Harris County, Texas","7720","551","4521","549","978","217","66","50","470","162","0","127","1576","563","109","95","26","29","83","86"
"1400000US48201253800","Census Tract 2538, Harris County, Texas","7144","677","4169","634","1155","515","199","168","114","174","0","127","1417","507","90","113","44","48","46","71"
"1400000US48201330301","Census Tract 3303.01, Harris County, Texas","7462","543","2446","662","1873","396","0","127","336","135","0","127","2747","633","60","75","14","21","46","72"
"1400000US48201333100","Census Tract 3331, Harris County, Texas","3390","465","754","280","1209","450","0","127","1045","290","0","127","316","253","66","72","0","127","66","72"
"1400000US48201421500","Census Tract 4215, Harris County, Texas","5611","995","2727","719","1147","504","21","34","554","228","0","127","1043","413","119","96","21","36","98","92"
"1400000US48201455300","Census Tract 4553, Harris County, Texas","2025","309","1402","355","507","248","0","127","94","97","0","127","0","127","22","37","22","37","0","127"
"1400000US48201241103","Census Tract 2411.03, Harris County, Texas","3685","502","2483","505","850","426","0","127","60","63","0","127","78","88","214","153","0","127","214","153"
"1400000US48201343301","Census Tract 3433.01, Harris County, Texas","4219","336","3227","452","182","145","0","127","147","158","0","127","501","270","162","174","80","114","82","133"
"1400000US48201452202","Census Tract 4522.02, Harris County, Texas","2517","331","1122","312","757","237","0","127","206","114","0","127","345","252","87","97","0","127","87","97"
"1400000US48201231100","Census Tract 2311, Harris County, Texas","4696","706","2354","636","1767","520","65","78","0","127","0","127","464","336","46","71","37","68","9","15"
"1400000US48201210400","Census Tract 2104, Harris County, Texas","4926","463","3468","458","296","172","37","57","0","127","0","127","1033","332","92","108","26","27","66","102"
"1400000US48201420300","Census Tract 4203, Harris County, Texas","3442","383","2264","363","648","276","0","127","203","158","0","127","138","96","189","197","0","127","189","197"
"1400000US48201522500","Census Tract 5225, Harris County, Texas","4418","126","4014","250","0","127","0","127","315","215","0","127","33","26","56","41","6","9","50","41"
"1400000US48201554403","Census Tract 5544.03, Harris County, Texas","7696","455","5647","543","1095","377","65","85","218","181","0","127","614","266","57","46","31","34","26","33"
"1400000US48201433600","Census Tract 4336, Harris County, Texas","4537","672","1609","586","2171","517","0","127","333","207","0","127","424","272","0","127","0","127","0","127"
"1400000US48201451602","Census Tract 4516.02, Harris County, Texas","7302","1420","4751","1290","770","365","0","127","1174","256","0","127","578","390","29","44","0","127","29","44"
"1400000US48201250401","Census Tract 2504.01, Harris County, Texas","11450","563","8655","510","1543","410","34","34","282","142","55","77","608","395","273","143","82","57","191","133"
"1400000US48201334001","Census Tract 3340.01, Harris County, Texas","3240","798","2023","731","995","401","0","127","164","202","0","127","58","91","0","127","0","127","0","127"
"1400000US48201454200","Census Tract 4542, Harris County, Texas","4509","431","1935","469","820","326","0","127","144","131","0","127","1475","407","135","112","107","104","28","36"
"1400000US48201521700","Census Tract 5217, Harris County, Texas","5935","786","2754","646","1641","435","0","127","101","94","0","127","1376","564","63","61","23","38","40","46"
"1400000US48201221000","Census Tract 2210, Harris County, Texas","3504","613","1384","342","825","222","17","27","154","239","0","127","1124","613","0","127","0","127","0","127"
"1400000US48201252600","Census Tract 2526, Harris County, Texas","7770","760","5160","758","53","58","0","127","0","127","26","44","2411","765","120","103","0","127","120","103"
"1400000US48201411502","Census Tract 4115.02, Harris County, Texas","4396","414","3419","378","195","184","0","127","422","265","0","127","276","223","84","88","36","42","48","77"
"1400000US48201454000","Census Tract 4540, Harris County, Texas","4823","523","1522","335","1681","306","17","28","1185","229","0","127","277","268","141","127","109","119","32","38"
"1400000US48201540200","Census Tract 5402, Harris County, Texas","2602","258","1735","323","52","66","3","8","360","193","7","11","445","294","0","127","0","127","0","127"
"1400000US48201554501","Census Tract 5545.01, Harris County, Texas","5043","495","3699","446","375","369","29","32","196","180","0","127","661","436","83","105","0","127","83","105"
"1400000US48201311600","Census Tract 3116, Harris County, Texas","4084","568","1293","511","161","121","11","16","130","138","0","127","2363","464","126","176","12","18","114","176"
"1400000US48201313300","Census Tract 3133, Harris County, Texas","2413","342","63","53","2234","337","0","127","44","69","0","127","57","63","15","23","0","127","15","23"
"1400000US48201511001","Census Tract 5110.01, Harris County, Texas","2838","330","2774","339","28","54","0","127","36","45","0","127","0","127","0","127","0","127","0","127"
"1400000US48201551702","Census Tract 5517.02, Harris County, Texas","4043","286","2736","414","290","230","0","127","897","161","11","21","92","115","17","26","0","127","17","26"
"1400000US48201220200","Census Tract 2202, Harris County, Texas","2603","464","1724","431","0","127","0","127","0","127","0","127","829","359","50","59","50","59","0","127"
"1400000US48201254500","Census Tract 2545, Harris County, Texas","2253","493","1021","335","440","241","0","127","12","19","0","127","732","459","48","58","34","53","14","23"
"1400000US48201342700","Census Tract 3427, Harris County, Texas","4877","394","4398","412","23","38","56","78","0","127","15","24","301","167","84","72","45","49","39","48"
"1400000US48201533902","Census Tract 5339.02, Harris County, Texas","4582","650","1467","701","2068","700","0","127","219","195","0","127","828","420","0","127","0","127","0","127"
"1400000US48201451901","Census Tract 4519.01, Harris County, Texas","7438","678","2890","540","3195","627","0","127","508","242","0","127","765","360","80","97","39","65","41","70"
"1400000US48201542500","Census Tract 5425, Harris County, Texas","2262","197","2173","192","22","34","0","127","0","127","0","127","55","61","12","18","0","127","12","18"
"1400000US48201222700","Census Tract 2227, Harris County, Texas","5263","533","1185","366","3653","473","0","127","40","64","0","127","309","154","76","72","19","34","57","62"
"1400000US48201412300","Census Tract 4123, Harris County, Texas","6704","308","5914","351","0","127","25","37","633","236","0","127","38","41","94","89","38","46","56","68"
"1400000US48201454100","Census Tract 4541, Harris County, Texas","3328","342","1045","242","1157","277","0","127","834","150","0","127","281","189","11","17","0","127","11","17"
"1400000US48201421800","Census Tract 4218, Harris County, Texas","4886","501","3229","486","850","423","0","127","470","232","41","56","167","145","129","131","0","127","129","131"
